date,price,high,low,open,volume,return,log_return,cumulative,asset,sv_vol,scale_used
2017-06-30,47.91999816894531,48.20000076293945,47.47999954223633,47.47999954223633,23479,0.0105440746374267,0.0104888735728305,-0.5374964010553468,COM_CRUDE,0.4150482411792321,0.025922182244162283
2017-07-03,49.68000030517578,49.70000076293945,48.540000915527344,48.88999938964844,17462,0.0367279257821642,0.0360695281715169,-0.5205096031993237,COM_CRUDE,0.4163585581788085,0.025922182244162283
2017-07-05,47.790000915527344,49.88999938964844,47.279998779296875,49.599998474121094,40863,-0.0380434657415155,-0.0387860120206868,-0.538751079683396,COM_CRUDE,0.4185407339091173,0.025922182244162283
2017-07-06,48.11000061035156,49.16999816894531,47.779998779296875,48.29999923706055,25556,0.0066959549841785,0.0066736366505802,-0.5356625776764551,COM_CRUDE,0.4174511988845816,0.025922182244162283
2017-07-07,46.709999084472656,47.9900016784668,46.279998779296875,47.97999954223633,28644,-0.0291000105615811,-0.0295318134841728,-0.5491748015702076,COM_CRUDE,0.41732588672022597,0.025922182244162283
2017-07-10,46.880001068115234,47.369998931884766,46.119998931884766,46.900001525878906,21447,0.0036395201664451,0.0036329131390112,-0.5475340141689806,COM_CRUDE,0.4183384995196167,0.025922182244162283
2017-07-11,47.52000045776367,48.16999816894531,46.29999923706055,47.02000045776367,22689,0.0136518638026168,0.0135595166346784,-0.5413570101550989,COM_CRUDE,0.4209962186139359,0.025922182244162283
2017-07-12,47.7400016784668,48.75,47.349998474121094,48.209999084472656,31345,0.0046296552732287,0.0046189713817201,-0.539233651218634,COM_CRUDE,0.4196416306290905,0.025922182244162283
2017-07-13,48.41999816894531,48.529998779296875,47.18000030517578,47.650001525878906,22846,0.0142437466814171,0.0141432576246461,-0.5326706120672706,COM_CRUDE,0.418135075470676,0.025922182244162283
2017-07-14,48.90999984741211,49.08000183105469,48.15999984741211,48.400001525878906,22014,0.0101198202601557,0.0100689577376673,-0.5279413226591028,COM_CRUDE,0.4180054277570414,0.025922182244162283
2017-07-17,48.41999816894531,49.25,48.310001373291016,49.060001373291016,17905,-0.0100184354936718,-0.0100689577376673,-0.5326706120672706,COM_CRUDE,0.41483991950028554,0.025922182244162283
2017-07-18,48.84000015258789,49.400001525878906,48.2400016784668,48.40999984741211,20301,0.0086741429063488,0.0086367386729143,-0.5286169301720056,COM_CRUDE,0.4150824200679851,0.025922182244162283
2017-07-19,49.70000076293945,49.79999923706055,48.599998474121094,48.70000076293945,20340,0.0176085300504651,0.0174552960867333,-0.520316567221659,COM_CRUDE,0.4112134373861012,0.025922182244162283
2017-07-20,49.29999923706055,50.18000030517578,49.189998626708984,49.599998474121094,26566,-0.0080483203166705,-0.0080808828802783,-0.524177213139259,COM_CRUDE,0.4081333057639841,0.025922182244162283
2017-07-21,48.060001373291016,49.63999938964844,47.810001373291016,49.27000045776367,27053,-0.0251520868754371,-0.0254738066903652,-0.5361451492116931,COM_CRUDE,0.4066577065397512,0.025922182244162283
2017-07-24,48.599998474121094,48.7599983215332,47.68000030517578,47.88999938964844,25408,0.0112358944111512,0.0111732406269285,-0.5309333250861353,COM_CRUDE,0.4089783863947698,0.025922182244162283
2017-07-25,50.20000076293945,50.900001525878906,48.650001525878906,48.7400016784668,27529,0.0329218588282536,0.0323915423859181,-0.5154907782335827,COM_CRUDE,0.4091182092632718,0.025922182244162283
2017-07-26,50.970001220703125,51.029998779296875,50.08000183105469,50.7599983215332,26137,0.0153386543040081,0.0152222064057129,-0.5080590587738036,COM_CRUDE,0.41063086131837634,0.025922182244162283
2017-07-27,51.4900016784668,51.63999938964844,50.5099983215332,50.869998931884766,21851,0.0102020883914057,0.0101503983545741,-0.5030402338080626,COM_CRUDE,0.4109281047191943,0.025922182244162283
2017-07-28,52.52000045776367,52.66999816894531,51.310001373291016,51.58000183105469,12631,0.0200038598897078,0.0198064114946155,-0.4930991202743371,COM_CRUDE,0.4124574746540171,0.025922182244162283
2017-07-31,52.650001525878906,52.849998474121094,52.25,52.7599983215332,844,0.0024752678404826,0.0024722094109567,-0.4918444048284398,COM_CRUDE,0.41308286505315345,0.025922182244162283
2017-08-01,52.630001068115234,52.630001068115234,52.630001068115234,52.630001068115234,33859,-0.0003798757299909,-0.000379947901054,-0.4920374408061047,COM_CRUDE,0.4119095641635413,0.025922182244162283
2017-08-02,52.36000061035156,52.41999816894531,51.189998626708984,51.56999969482422,34625,-0.0051301624982722,-0.0051433669619576,-0.4946433712778075,COM_CRUDE,0.4148129928047319,0.025922182244162283
2017-08-03,52.0099983215332,52.869998931884766,51.790000915527344,52.290000915527344,34779,-0.0066845356137975,-0.0067069771855488,-0.4980214456601698,COM_CRUDE,0.40919832760586367,0.025922182244162283
2017-08-04,52.41999816894531,52.52000045776367,51.439998626708984,51.90999984741211,26969,0.0078830967245457,0.007852187451821,-0.4940643001626612,COM_CRUDE,0.4101269403566424,0.025922182244162283
2017-08-07,52.369998931884766,52.560001373291016,51.369998931884766,52.380001068115234,29496,-0.0009538198933048,-0.0009542750689594,-0.4945468716978992,COM_CRUDE,0.4098686705957313,0.025922182244162283
2017-08-08,52.13999938964844,52.72999954223633,51.81999969482422,52.2400016784668,24795,-0.0043918187307102,-0.0044014910964989,-0.4967667302142725,COM_CRUDE,0.4062395421091451,0.025922182244162283
2017-08-09,52.70000076293945,52.81999969482422,51.83000183105469,51.83000183105469,26143,0.0107403410020405,0.0106830732250041,-0.4913618332932019,COM_CRUDE,0.40607123384762783,0.025922182244162283
2017-08-10,51.900001525878906,53.630001068115234,51.68000030517578,52.779998779296875,52899,-0.0151802509578545,-0.0152966504521392,-0.4990830883105541,COM_CRUDE,0.40669297746683825,0.025922182244162283
2017-08-11,52.099998474121094,52.27000045776367,51.310001373291016,51.91999816894531,25318,0.0038535056331832,0.003846099899611,-0.4971528021696021,COM_CRUDE,0.40630705800929245,0.025922182244162283
2017-08-14,50.72999954223633,52.38999938964844,50.58000183105469,52.0099983215332,29797,-0.0262955656815473,-0.0266474769167491,-0.5103754536879335,COM_CRUDE,0.4059104080431864,0.025922182244162283
2017-08-15,50.79999923706055,51.099998474121094,50.029998779296875,50.650001525878906,35111,0.0013798481264708,0.0013788970108743,-0.5096998461750306,COM_CRUDE,0.40491466401398707,0.025922182244162283
2017-08-16,50.27000045776367,51.349998474121094,50.150001525878906,50.959999084472656,33911,-0.0104330469932413,-0.0104878527553586,-0.51481517072068,COM_CRUDE,0.4087410659374433,0.025922182244162283
